"ID"	"kmer_coverage"	"bioproject"	"biosample"	"bioproject_title"	"bioproject_description"	"refs"	"sample_acc"	"assay_type"	"center_name"	"experiment"	"sample_name"	"organism"	"longitude"	"latitude"	"selected_location"	"locations"	"disease_source"	"disease_text"	"do_label"	"do_id"	"tissue"	"tissue_source"	"tissue_text"	"bto_id"	"contigs_n50"	"contigs_nbseq"	"contigs_maxlen"	"contigs_sumlen"	"unitigs_n50"	"unitigs_nbseq"	"unitigs_maxlen"	"unitigs_sumlen"	"instrument"	"librarylayout"	"libraryselection"	"librarysource"	"library_name"	"platform"	"sra_study"	"releasedate"	"mbytes"	"avgspotlen"	"mbases"	"biosamplemodel_sam"	"collection_date_sam"	"location_count"	"location_avg_coverage"	"location_max_coverage"	"location_min_coverage"	"location_med_coverage"
"ERR1512385"	"1"	"PRJEB14639"	"SAMEA4058356"	"Deep-sequencing of distinct preparations of the live-attenuated VZV vaccine reveals a conserved core of attenuating SNPs"	"The continued success of the live-attenuated varicella zoster virus vaccine in preventing varicella and herpes zoster is well documented, as are many of the mutations that contribute to the attenuation of the vOka virus for replication in skin. At least three different preparations of vOKa are marketed. Here, we show using deep sequencing of seven batches of vOka vaccine (including ZostaVax, VariVax, VarilRix and the Oka/Biken working seed) from three different manufacturers (VariVax, GSK and Biken) that  137 SNP mutations are present in all vaccine batches. This includes six sites at which the vaccine allele is fixed or near-fixation which we speculate are likely to be important for attenuation. We additionally show that despite differences in the vaccine populations between preparations, batch to batch variation is minimal, as is the number and frequency of mutations unique to individual batches.  This suggests that the vaccine manufacturing processes are not introducing new mutations and notwithstanding the mixture of variants present, VZV live vaccines are extremely stable."	"PMC:5021409"	"ERS1229466"	"Targeted-Capture"	"UNIVERSITY COLLEGE LONDON"	"ERX1583412"	"SAMEA4058356"	"Human alphaherpesvirus 3"	"-0.13466"	"51.52462"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"179"	"2207"	"1121"	"193566"	"37"	"50838"	"620"	"2064944"	"Illumina MiSeq"	"PAIRED"	"other"	"GENOMIC"	"VV12"	"ILLUMINA"	"ERP016293"	"2016-07-12T00:00:00"	"35"	"302"	"52"	""	""	"12"	"1"	"1"	"1"	"1"
"ERR244068"	"1"	"PRJEB2768"	"SAMEA1709529"	"Herpesvirus_whole_genome_sequencing"	"Very little is known about genome diversity of herpesviruses and there are currently very few genome sequences in Genbank. Whole genome sequencing of large DNA viruses is complicated by the difficulty in separating virus DNA from human DNA. In this project we will address this issue by using Agilent SureSelect technology and Illumina deep sequencing to sequence several members of the herpesvirus family, including Epstein Barr virus (EBV, HHV4), Kaposi’s sarcoma associated herpesvirus (KSHV, HHV8) and varicella zoster virus (VZV, HHV3). We have designed custom baits to the available reference sequences and will use these to pull out virus sequence from host DNA and then Illumina sequence the captured virus DNA. The short read data will be assembled into a genome consensus sequence for each virus and importantly, allow analysis of virus minority species, which may be important for pathogenesis.  We will use a range of samples including DNA from cell lines latently infected with either EBV or KSHV or both viruses. These data will enable an initial estimation of genome diversity and highlight differences at the genetic level between EBV and KSHV from different cell lines. Further studies will generate herpesvirus genome sequences from clinical samples, including varicella, Kaposi’s sarcoma and nasopharyngeal carcinoma to investigate virus genetic diversity and pathogenic determinants.  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-lymphocryptovirus  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-rhadinovirus  http://www.sanger.ac.uk/resources/downloads/viruses/herpesviridae-simplexvirus"	"PMC:11943181,8235469"	"ERS074864"	"WGS"	"SC"	"ERX218602"	"SAMEA1709529"	"human gammaherpesvirus 4"	"-81.04537"	"33.99882"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"39"	"20991"	"26470"	"999188"	"37"	"247880"	"874"	"9794413"	"Illumina HiSeq 2000"	"PAIRED"	"RANDOM"	"GENOMIC"	"2674240"	"ILLUMINA"	"ERP001026"	"2013-03-23T00:00:00"	"126"	"200"	"248"	""	""	"37"	"0.98"	"1"	"0.6"	"1"
"SRR7948105"	"1"	"PRJNA493815"	"SAMN10148251"	"Vaccine measles, mumps, rubella, chickenpox Metagenome"	"Effect of sequencing coverage reduction on species identification in complex biological matrix"	""	"SRS3862239"	"WGS"	"IGA TECHNOLOGY SERVICES SRL"	"SRX4782055"	"B2"	"metagenome"	"12.49563"	"41.90325"	"geo_loc_name"	"{""geo_loc_name_country_calc"": [12.49563, 41.90325], ""geo_loc_name_sam"": [""12.49563"", ""41.90325""]}"	""	""	""	""	""	""	""	""	"40"	"309858"	"5416"	"15775730"	"50"	"3855623"	"2055"	"190101979"	"Illumina HiSeq 2500"	"PAIRED"	"PCR"	"METAGENOMIC"	"1_Pri"	"ILLUMINA"	"SRP163096"	"2018-10-15T00:00:00"	"362"	"244"	"937"	"Metagenome or environmental"	""	"2"	"1"	"1"	"1"	"1"
"SRR156347"	"1"	""	"SAMN00254016"	""	""	""	"SRS183285"	"WGS"	"UCL"	"SRX052993"	"VZV Saliva strain #1"	"Human herpesvirus 3"	""	""	""	""	""	""	""	""	""	""	""	""	"48"	"103850"	"2030"	"5749914"	"35"	"2714259"	"317"	"107208465"	"Illumina Genome Analyzer IIx"	"PAIRED"	"Hybrid Selection"	"GENOMIC"	"SAL 1"	"ILLUMINA"	"SRP006178"	"2012-01-18T00:00:00"	"491"	"144"	"805"	""	""	"0"	""	""	""	""
"ERR4277267"	"1"	"PRJEB38829"	"SAMEA6999490"	"Decoding the architecture of the varicella-zoster virus transcriptome"	"Varicella-zoster virus (VZV), a double-stranded DNA virus, causes varicella, establishes lifelong latency in ganglionic neurons, and reactivates later in life to cause herpes zoster, commonly associated with chronic pain. The VZV genome is densely packed and produces multitudes of overlapping transcripts deriving from both strands. While 71 distinct open reading frames (ORFs) have thus far been experimentally defined, the full coding potential of VZV remains unknown. Here, we integrated multiple short-read RNA sequencing approaches with long-read direct RNA sequencing on RNA isolated from VZV-infected cells to provide a comprehensive reannotation of the lytic VZV transcriptome architecture. Through precise mapping of transcription start sites, splice junctions, and polyadenylation sites, we identified 136 distinct polyadenylated VZV RNAs that encode canonical ORFs, non-canonical ORFs, and ORF fusions, as well as putative non-coding RNAs (ncRNAs). Furthermore, we determined the kinetic class of all VZV transcripts and observed, unexpectedly, that transcripts encoding the ORF62 protein, previously designated as immediate-early, were expressed with late kinetics. Our work showcases the complexity of the VZV transcriptome and provides a comprehensive resource that will facilitate future functional studies of coding RNAs, ncRNAs, and the biological mechanisms underlying the regulation of viral transcription and translation during lytic VZV infection."	"PMC:7542360"	"ERS4767571"	"OTHER"	"NEW YORK UNIVERSITY SCHOOL OF MEDICINE"	"ERX4231894"	"SAMEA6999490"	"Human alphaherpesvirus 3"	"-73.9743"	"40.7423"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"33"	"319225"	"1687"	"12437885"	"34"	"2042382"	"757"	"77816691"	"NextSeq 550"	"SINGLE"	"CAGE"	"TRANSCRIPTOMIC"	"pOKA-ARPE19-CAGE-biorep2"	"ILLUMINA"	"ERP122280"	"2020-08-01T00:00:00"	"845"	"75"	"1987"	""	""	"22"	"0.98"	"1"	"0.66"	"1"
"SRR043089"	"1"	""	"SAMN00010554"	""	""	""	"SRS025539"	"AMPLICON"	"STANFORD UNIVERSITY"	"SRX018136"	"Varivax"	"Human herpesvirus 3"	""	""	""	""	""	""	""	""	""	""	""	""	"72"	"6550"	"2159"	"414686"	"34"	"189614"	"791"	"7094097"	"454 GS FLX"	"SINGLE"	"RANDOM PCR"	"OTHER"	"Varivax"	"LS454"	"SRP002150"	"2010-05-10T00:00:00"	"92"	"508"	"42"	""	""	"0"	""	""	""	""
"SRR23024395"	"1"	"PRJNA921818"	"SAMN32634553"	"Genome-wide comparison of varicella-zoster virus vaccines"	"In this study, a high throughput sequencing technology was utilized to obtain deep coverage for VZV genome in four commercial vaccines. Genetic variants in the vaccines were identified and compared to the reference genomes of Dumas, pOka, vOka, and MAV/06, allowing the tracing of origin of the variants."	""	"SRS16401487"	"WGS"	"AJOU UNIVERSITY"	"SRX18979889"	"GSK_rep2"	"Human alphaherpesvirus 3"	"126.99989"	"37.55886"	"geo_loc_name"	"{""geo_loc_name_country_calc"": [126.99989, 37.55886], ""geo_loc_name_sam"": [""126.99989"", ""37.55886""]}"	""	""	""	""	""	""	""	""	"178"	"5672190"	"7509"	"741651648"	"95"	"25768865"	"2070"	"1719552122"	"Illumina NovaSeq 6000"	"PAIRED"	"PCR"	"GENOMIC"	"GSK_rep2"	"ILLUMINA"	"SRP416618"	"2023-02-09T00:00:00"	"2189"	"302"	"6817"	"Viral"	"2022-08-01"	"11"	"1"	"1"	"1"	"1"
"ERR832443"	"1"	"PRJEB9772"	"SAMEA3311942"	"vzv latency"	"vzv latency"	""	"ERS688063"	"RNA-Seq"	"BAR ILAN"	"ERX912517"	"SAMEA3311942"	"Human alphaherpesvirus 3"	"34.84447"	"32.06939"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"199"	"254293"	"2462"	"24781908"	"46"	"4863860"	"652"	"219777677"	"Illumina HiSeq 2500"	"SINGLE"	"unspecified"	"TRANSCRIPTOMIC"	"unspecified"	"ILLUMINA"	"ERP010915"	"2016-05-06T00:00:00"	"1802"	"51"	"2828"	""	""	"2"	"1"	"1"	"1"	"1"
"ERR6150244"	"1"	"PRJEB45678"	"SAMEA8946463"	"A Variant allele in Varicella-Zoster Virus Glycoprotein B, Selected during Production of the Varicella Vaccine, Contributes to its Attenuation"	"Attenuation of the live varicella Oka vaccine (vOka) has been attributed to mutations in the genome acquired during cell culture passage of pOka (parent strain); however, the precise mechanisms of attenuation remain unknown. Comparative sequence analyses of several vaccine batches showed that over 100 single-nucleotide polymorphisms (SNPs) are conserved across all vaccine batches; six SNPs are fixed or nearly fixed, suggesting that these SNPs are responsible for attenuation. By contrast, prior analysis of chimeric vOka and pOka recombinants indicates that loci other than these six SNPs contribute to attenuation. Here, we report that pOka consists of a heterogenous population of virus sequences with two nearly equally represented bases, G or A, at nucleotide 2096 of ORF31 which encodes glycoprotein B (gB) resulting in arginine (R) or glutamine (Q), respectively, at amino acid 699 of gB. While 2096A/699Q is dominant in vOka (99.99 to 100%). gB699Q/gH/gL showed significantly less fusion activity than gB699R/gH/gL in a cell-based fusion assay. Recombinant pOka with gB-669Q (rpOka-gB699Q) had a similar growth phenotype as vOka during lytic infection in cell culture; however, rpOka-gB699R showed a growth phenotype similar to pOka. rpOka-gB699R entered neurons from axonal terminals more efficiently than rpOka-gB699Q in the presence of cell membrane-derived vesicles containing gB. Strikingly, when a mixture of pOka with both alleles equally represented was used to infect human neurons from axon terminals, pOka with gB699R was dominant for virus entry. These results identify a variant allele in gB that contributes to attenuation of vOka."	"PMC:9426484"	"ERS6629237"	"WGS"	"NEW YORK UNIVERSITY SCHOOL OF MEDICINE"	"ERX5787068"	"SAMEA8946463"	"Human alphaherpesvirus 3"	"-73.9743"	"40.7423"	"INSDC center name"	""	""	""	""	""	""	""	""	""	"209"	"309978"	"5476"	"46875056"	"124"	"1409680"	"821"	"105298907"	"NextSeq 550"	"PAIRED"	"RANDOM"	"GENOMIC"	"vOka_14d_latency_rep1"	"ILLUMINA"	"ERP129818"	"2021-10-04T00:00:00"	"275"	"398"	"465"	""	""	"22"	"0.98"	"1"	"0.66"	"1"
"SRR157490"	"1"	""	"SAMN00254025"	""	""	""	"SRS183294"	"WGS"	"UCL"	"SRX052996"	"VZV strain V110A"	"Human herpesvirus 3"	""	""	""	""	""	""	""	""	""	""	""	""	"35"	"64886"	"1042"	"2409774"	"35"	"1123739"	"749"	"42462956"	"Illumina Genome Analyzer IIx"	"PAIRED"	"PCR"	"GENOMIC"	"V110A"	"ILLUMINA"	"SRP006178"	"2012-01-18T00:00:00"	"1141"	"108"	"1917"	""	""	"0"	""	""	""	""
